data1,,,data2,
trait,range,,,
range_n_norm,0.179162615,,,
range_p_norm,0.174230872,,,
range_np_norm,0.046687715,,,
range_n_norm,0.146916467,,,
range_p_norm,0.341757447,,,
range_np_norm,0.258331989,,,
range_n_norm,0.367490874,,,
range_p_norm,0.308529894,,,
range_np_norm,0.234464808,,,
range_n_norm,0.355565891,,,
range_p_norm,0.347870606,,,
range_np_norm,0.202806352,,,
range_n_norm,0.086101399,,,
range_p_norm,0.140420426,,,
range_np_norm,0.046687715,,,
range_n_norm,0.487367565,,,
range_p_norm,0.452411857,,,
range_np_norm,0.338900485,,,
range_n_norm,0.651616644,,,
range_p_norm,0.412379021,,,
range_np_norm,0.416709186,,,
range_n_norm,0.021074883,,,
range_p_norm,0.03723086,,,
range_np_norm,0.103289236,,,
range_n_norm,0.359063848,,,
range_p_norm,0.383798332,,,
range_np_norm,0.153966818,,,
range_n_norm,0.271043397,,,
range_p_norm,0.369711947,,,
range_np_norm,0.392079943,,,
range_n_norm,0.196593137,,,
range_p_norm,0.264666806,,,
range_np_norm,0.161021094,,,
range_n_norm,0.487121549,,,
range_p_norm,0.766449951,,,
range_np_norm,0.380887999,,,
range_n_norm,0.422260583,,,
range_p_norm,0.228090046,,,
range_np_norm,0.219134288,,,
range_n_norm,0.363520475,,,
range_p_norm,0.119091236,,,
range_np_norm,0.18353816,,,
range_n_norm,0.254602268,,,
range_p_norm,0.080513179,,,
range_np_norm,0.311635451,,,
range_n_norm,0.15363671,,,
range_p_norm,0.098759877,,,
range_np_norm,0.2425526,,,
range_n_norm,0.286465318,,,
range_p_norm,0.111293851,,,
range_np_norm,0.304474619,,,
range_n_norm,0.571029536,,,
range_p_norm,0.296722942,,,
range_np_norm,0.276018006,,,
range_n_norm,0.063468145,,,
range_p_norm,0.054382297,,,
range_np_norm,0.051621075,,,
range_n_norm,0.49542417,,,
range_p_norm,0.732710997,,,
range_np_norm,0.272866866,,,
range_n_norm,0.475861548,,,
range_p_norm,0.255273595,,,
range_np_norm,0.359744792,,,
range_n_norm,0.158093349,,,
range_p_norm,0.147862765,,,
range_np_norm,0.097229063,,,
range_n_norm,0.670538333,,,
range_p_norm,0.411117058,,,
range_np_norm,0.190850365,,,
range_n_norm,0.116863851,,,
range_p_norm,0.438903417,,,
range_np_norm,0.184328438,,,
range_n_norm,0.69713979,,,
range_p_norm,0.847494484,,,
range_np_norm,0.474195722,,,
range_n_norm,0.148689742,,,
range_p_norm,0.113207633,,,
range_np_norm,0.107467375,,,
range_n_norm,0.016888063,,,
range_p_norm,0.101775752,,,
range_np_norm,0.073514563,,,
range_n_norm,0.145508706,,,
range_p_norm,0.170119983,,,
range_np_norm,0.222253955,,,
range_n_norm,0.161309472,,,
range_p_norm,0.198256839,,,
range_np_norm,0.201888387,,,
range_n_norm,0.200457032,,,
range_p_norm,0.280481035,,,
range_np_norm,0.373410639,,,
range_n_norm,0.23019363,,,
range_p_norm,0.188601235,,,
range_np_norm,0.284051678,,,
range_n_norm,0.346955663,,,
