range_n,range_p
6.613166667,2.125434017
8.428549376,1.946641026
13.9135328,1.537038516
11.19660627,1.032557986
12.99520313,3.052447849
2.94743624,0.311835393
6.691007165,0.994737797
6.929630542,1.176728716
6.929630542,1.176728716
8.210933063,1.036823529
8.210933063,1.035235294
7.199558824,1.046352941
14.41645565,3.577879323
10.33440667,2.01147096
14.81818985,1.813889518
12.87608944,0.410977817
5.087638888,0.228095872
2.212894443,0.715640494
14.41686355,0.916311437
14.41686355,0.916311437
13.14187963,0.907957407
14.74466667,1.007962246
16.21246667,0.45780977
11.417337,1.418156287
4.07558979,0.337417033
7.580766668,0.848535033
9.69469257,0.853246273
10.48293443,2.044120987
9.423529144,0.843703824
3.834293482,0.881621524
14.98857288,1.147846123
22.33996085,1.121284522
13.96684259,0.72039881
1.831293333,0.460754799
9.512317647,1.309307696
1.689601449,0.535555797
4.183858095,0.534889524
16.42013333,1.150717647
9.397019546,0.863111657
8.351355994,1.047892093
0.281016899,0.172844651
7.244934043,1.151152093
2.307550152,1.43566079
13.11863767,0.819417214
4.53500715,0.731524548
11.57139524,0.656833646
10.65641197,0.616885713
10.65641197,0.616885713
9.932444776,0.652424879
9.932444776,0.652424879
8.467233526,0.7647125
9.387164456,0.287857013
9.387164456,0.287857013
7.638163257,1.303432029
19.93643656,1.215702147
5.964161333,0.654682667
11.88747321,0.791925496
7.093506667,0.402138
10.8299395,1.13538257
6.426301,0.1528555
5.910802193,0.735773988
8.332722857,0.658776429
4.009085,0.204574
3.589544,0.08722
4.56314902,1.119755686
4.56314902,1.119755686
4.56314902,1.119755686
12.64085714,1.375172885
11.39782857,0.851311429
5.966422556,0.306895238
4.258578882,0.193366625
3.578372,0.220108
4.556036954,0.791074498
11.24227587,0.791074498
13.93398201,0.990293796
11.50804983,1.382723485
7.898418791,0.716847807
5.148554703,0.948109026
18.19845999,1.679299913
6.61130751,0.671353273
9.333333333,1.34675
6.874037932,2.639808897
13.59172763,2.610061647
7.748989097,0.757794721
8.418872549,1.613578431
9.068652596,2.426403573
7.936779706,2.760036218
3.337096,0.283024
3.337096,0.283024
5.142978143,0.960182752
3.451758689,1.408854628
3.430809245,0.507417961
13.09225583,0.908635429
3.486728329,1.42065152
13.50871954,1.135802596
9.946846105,0.881363789
10.61239885,1.887249196
7.664058333,0.872346111
4.510232804,1.260647619
8.215513736,1.202947492
4.618810638,0.857235319
8.611904762,1.284071429
14.86923076,0.574274524
5.512378496,0.411166567
7.0905,0.299262713
5.786985529,0.19132782
2.450704361,0.40038621
4.6354,0.741125
7.961523404,0.406837157
9.305193333,0.584952302
10.85963246,0.869274349
7.677443789,1.019313474
8.822683475,0.622624312
10.41870113,1.00702569
15.50246116,0.59365555
9.278571429,1.477662338
12.34065785,0.551755738
3.260981906,1.326356959
9.457335316,1.51455
9.321162304,0.99026122
10.43213664,1.421434067
11.22934286,0.468619385
15.80550342,0.678967401
9.430342169,1.022845093
4.215633333,0.564694208
9.04932,0.608906667
3.43196,0.204854777
4.050632046,0.886446779
11.64485016,1.897077629
15.4884666,1.04458327
4.007313922,0.49885831
10.16479924,1.11162303
9.579971886,1.055224048
10.26974804,0.834690276
11.25355635,1.487900027
1.925822175,0.402052149
18.51552621,1.558723628
6.253346133,0.890865726
4.108179369,0.385641857
10.50963224,1.638648485
4.061597971,0.887978351
4.050632046,0.886446779
4.007313922,0.49885831
3.286067252,0.978520855
8.219634963,0.883383635
7.95290996,0.996024071
1.925822175,0.402052149
10.90090602,1.295346864
14.57465024,1.18072474
8.031148446,1.098892432
6.06240303,1.058560256
4.39718082,0.757794721
10.89540341,2.194501595
9.44466407,0.653068043
8.130829412,0.340982353
5.694665789,0.230525556
3.436378329,0.28276955
6.407343714,0.318656857
12.77216571,0.849577938
1.41958623,0.155707541
11.08110737,2.09790013
10.64355198,0.730900055
3.536059563,0.423361074
14.99786995,1.177111483
2.613883121,1.256669462
15.59286231,2.426548523
3.325729945,0.324136403
0.37773377,0.29140461
3.25458,0.487088
3.607994286,0.567649524
4.483604211,0.803074067
5.14872,0.540003571
7.760325768,0.784718203
11.23424938,1.877147273
8.72788,1.103980426
2.51184646,1.650173509
3.977320714,0.216575079
0.630037693,0.172968636
5.802814286,0.289677321
9.14575731,1.5223375
3.683652782,0.466262281
3.439700032,0.179851441
7.105211111,0.575065556
7.140585556,0.417095
8.824523724,1.650173509
18.7475547,2.169137689
18.7475547,2.169137689
8.989279279,1.47827957
2.826334812,0.376269524
8.50006557,1.548380806
9.14806924,1.008768014
11.06664509,0.956779477
8.869457057,1.363001994
1.373851417,0.757794721
11.4931687,0.741985654
1.120127273,0.140678788
8.323326667,0.472266667
2.35136,0.14523
1.82672,0.049
1.65424,0.07448
7.668745,1.38425
14.50009111,2.65440381
2.15796,0.80556
12.13064583,2.388327976
14.45282393,3.65375131
12.55703,2.302483333
3.552567111,0.391000444
7.402266667,0.563820808
10.31613333,1.387474946
10.31613333,1.387474946
9.431592593,0.421246176
2.156,0.476606667
2.874744445,0.487544622
