level,pred,rsq
4,T_GRAVEL,0.4674227829624799
4,T_PH_H2O,0.4672458526249092
4,T_TEB,0.46696311488809267
4,T_BS,0.4668111714247331
4,T_CEC_CLAY,0.4661684356040113
4,T_ECE,0.4670180975501161
4,T_ESP,0.467586933399808
4,T_CACO3,0.46738681876560434
4,T_OC,0.46664356551482683
4,ORGC,0.4657121048269915
4,TOTN,0.4670634730384685
4,CNrt,0.4668488083239386
4,ALSA,0.46623247990403477
4,PBR,0.46606334638679586
4,TP,0.46629130429595017
5,elv,0.46560850713720886
5,mat,0.4672657102704483
5,matgs,0.46612732218899494
5,tmonthmin,0.46587010167897314
5,tmonthmax,0.46651274345939114
5,ndaysgs,0.46546831126341814
5,mai,0.4633575830200118
5,maigs,0.465132415627108
5,map,0.4657212414965181
5,pmonthmin,0.4658315822209375
5,mavgs,0.467114162916978
5,mav,0.4657309095173251
5,alpha,0.4661143127559363
5,vcmax25,0.46618883102002323
5,jmax25,0.4659453549414571
5,gs_accl,0.4658809877791117
5,aet,0.46616527943823627
5,ai,0.46679514565111657
5,cwdx80,0.4657224810967636
5,gti,0.46636852359511927
5,ndep,0.46288453615832337
5,co2,0.45841331537374697
5,T_BULK_DENSITY,0.4655431760133022
5,AWC_CLASS,0.4661489007186883
5,T_CLAY,0.46685706710153596
5,T_SILT,0.4668033371816769
5,T_GRAVEL,0.4665896541399044
5,T_PH_H2O,0.4668444028390491
5,T_TEB,0.4657560233136864
5,T_BS,0.4654304788193204
5,T_CEC_CLAY,0.46701670619237556
5,T_ECE,0.4664298292487517
5,T_ESP,0.4665126313508564
5,T_CACO3,0.4663248595517618
5,T_OC,0.4663317680086121
5,ORGC,0.4664282628685101
5,TOTN,0.46657078267270596
5,CNrt,0.46721307100100334
5,ALSA,0.4665098311055052
5,PBR,0.4662365249132621
5,TP,0.4663660773272976
6,elv,0.4647926274079727
6,matgs,0.46399745949267457
6,tmonthmin,0.4647666976521034
6,tmonthmax,0.4649087504550414
6,ndaysgs,0.4646112557134435
6,mai,0.4617907350319906
6,maigs,0.4662554253724293
6,map,0.4644594782233956
6,pmonthmin,0.46525763227977074
6,mavgs,0.46596569762977025
6,mav,0.4653240468870431
6,alpha,0.4648567374545246
6,vcmax25,0.4655526283025953
6,jmax25,0.4666601247469966
6,gs_accl,0.46550189154277427
6,aet,0.4661599822510309
6,ai,0.4663772627754848
6,cwdx80,0.4654955177172663
6,gti,0.4673436850994889
6,ndep,0.4620620975127317
6,co2,0.45994860660241044
6,T_BULK_DENSITY,0.4664001759247902
6,AWC_CLASS,0.46559178289526043
6,T_CLAY,0.4656845741690751
6,T_SILT,0.46772966376223857
6,T_GRAVEL,0.4672663747270512
6,T_PH_H2O,0.4676625488861645
6,T_TEB,0.46692218903148835
6,T_BS,0.4672188951157371
6,T_CEC_CLAY,0.4674142385049867
6,T_ECE,0.46653910243410063
6,T_ESP,0.4668071315996488
6,T_CACO3,0.4667470730282735
6,T_OC,0.4670713485451601
6,ORGC,0.4671851287878112
6,TOTN,0.46724719855662467
6,CNrt,0.4669476915651588
6,ALSA,0.46734853570520324
6,PBR,0.46693943374233937
6,TP,0.4679003900188906
7,elv,0.4657651614323795
7,matgs,0.46519761788713343
7,tmonthmin,0.46506171289089054
7,tmonthmax,0.4655212731904567
7,ndaysgs,0.46508206621952536
7,mai,0.4608878999185878
7,maigs,0.4657078339154891
7,map,0.46664040495826725
7,pmonthmin,0.4657224686834108
7,mavgs,0.4660096177699014
7,mav,0.4666805878724644
7,alpha,0.46524857136473075
7,vcmax25,0.4658577369250234
7,jmax25,0.4658836834886369
7,gs_accl,0.4658827515086019
7,aet,0.46604384865622134
7,ai,0.46587826124750326
7,cwdx80,0.4636766524762456
7,gti,0.4667187913100625
7,ndep,0.46243695384250466
7,co2,0.4602115935419317
