sitename,year_start,year_end,lon,lat,elv
i_-17.2496667_28.1438333_921,1998,1998,-17.2496667,28.1438333,921
i_-17.283_28.1525_804,1998,1998,-17.283,28.1525,804
i_-17.75_65_646,2013,2013,-17.75,65,646
i_-17.8251667_28.6468333_1055,1990,2015,-17.8251667,28.6468333,1055
i_-17.826_28.7956667_1055,1998,1998,-17.826,28.7956667,1055
i_-2_43_834,1992,1993,-2,43,834
i_-2.0116401_37.9967633_957,1990,2015,-2.0116401,37.9967633,957
i_-2.026596_41.1457374_1106,1990,2015,-2.026596,41.1457374,1106
i_-2.0291643_40.1459058_1262,1990,2015,-2.0291643,40.1459058,1262
i_-2.045_43.2783333_101,1990,2015,-2.045,43.2783333,101
i_-2.0497753_41.2831836_768,1990,2015,-2.0497753,41.2831836,768
i_-2.0582083_40.2833473_1315,1990,2015,-2.0582083,40.2833473,1315
i_-2.0810507_40.4273526_1206,1990,2015,-2.0810507,40.4273526,1206
i_-2.1104352_40.5647963_1218,1990,2015,-2.1104352,40.5647963,1218
i_-2.1240212_51.8267593_184,1990,2015,-2.1240212,51.8267593,184
i_-2.1307077_42.6991643_650,1990,2015,-2.1307077,42.6991643,650
i_-2.1320797_41.7013938_1074,1990,2015,-2.1320797,41.7013938,1074
i_-2.1334398_40.7022408_1338,1990,2015,-2.1334398,40.7022408,1338
i_-2.1422268_38.6995_1192,1990,2015,-2.1422268,38.6995,1192
i_-2.1574167_50.7440278_42,1990,2015,-2.1574167,50.7440278,42
i_-2.1607936_42.8362963_891,1990,2015,-2.1607936,42.8362963,891
i_-2.1628333_40.8460741_1144,1990,2015,-2.1628333,40.8460741,1144
i_-2.1657804_37.833717_1208,1990,2015,-2.1657804,37.833717,1208
i_-2.1923982_40.9835185_1275,1990,2015,-2.1923982,40.9835185,1275
i_-2.1930833_39.9833473_1046,1990,2015,-2.1930833,39.9833473,1046
i_-2.2155741_41.1271806_1206,1990,2015,-2.2155741,41.1271806,1206
i_-2.2233333_38.1161667_1261,1990,2015,-2.2233333,38.1161667,1261
i_-2.2237169_57.1937169_88,1990,2015,-2.2237169,57.1937169,88
i_-2.2448333_43.26_112,1990,2015,-2.2448333,43.26,112
i_-2.2453102_41.264625_909,1990,2015,-2.2453102,41.264625,909
i_-2.2458241_38.2606852_963,1990,2015,-2.2458241,38.2606852,963
i_-2.2750505_41.4019192_1021,1990,2015,-2.2750505,41.4019192,1021
i_-2.3264203_38.6807826_1239,1990,2015,-2.3264203,38.6807826,1239
i_-2.3277923_40.6835265_1189,1990,2015,-2.3277923,40.6835265,1189
i_-2.33_38.37_1010,1999,2001,-2.33,38.37,1010
i_-2.34925_38.8185648_995,1990,2015,-2.34925,38.8185648,995
i_-2.3575232_40.8273518_1104,1990,2015,-2.3575232,40.8273518,1104
i_-2.3736773_54.010172_315,1990,2015,-2.3736773,54.010172,315
i_-2.3772731_37.952926_1244,1990,2015,-2.3772731,37.952926,1244
i_-2.3784722_38.9627408_1007,1990,2015,-2.3784722,38.9627408,1007
i_-2.3822512_41.9634299_1391,1990,2015,-2.3822512,41.9634299,1391
i_-2.43_42.45_393,2006,2006,-2.43,42.45,393
i_-2.445556_38.486389_1104,1990,2015,-2.445556,38.486389,1104
i_-2.471111_55.106111_309,1990,2015,-2.471111,55.106111,309
i_-2.489722_41.9975_1313,1990,2015,-2.489722,41.9975,1313
i_-2.5_55.17_300,2008,2008,-2.5,55.17,300
i_-2.52_43.32_450,1990,1990,-2.52,43.32,450
i_-2.54_43.36_150,1989,1989,-2.54,43.36,150
i_-2.5458309_40.8020797_1130,1990,2015,-2.5458309,40.8020797,1130
i_-2.5572222_52.4606085_205,1990,2015,-2.5572222,52.4606085,205
i_-2.5599213_37.9338611_1681,1990,2015,-2.5599213,37.9338611,1681
i_-2.5829259_38.0783796_1318,1990,2015,-2.5829259,38.0783796,1318
i_-2.6_42.9_320,1989,1990,-2.6,42.9,320
i_-2.6_43_850,1989,1990,-2.6,43,850
i_-2.6067725_57.1937433_254,1990,2015,-2.6067725,57.1937433,254
i_-2.6136898_43.0788935_815,1990,2015,-2.6136898,43.0788935,815
i_-2.6240212_51.2607408_252,1990,2015,-2.6240212,51.2607408,252
i_-2.63_43.05_600,1989,1990,-2.63,43.05,600
i_-2.63_43.16_220,1989,1990,-2.63,43.16,220
i_-2.63_43.16_620,1989,1989,-2.63,43.16,620
i_-2.6300218_41.2268381_1154,1990,2015,-2.6300218,41.2268381,1154
i_-2.6315758_37.3496869_1116,1990,2015,-2.6315758,37.3496869,1116
i_-2.64_43.08_220,1989,1989,-2.64,43.08,220
i_-2.64_43.08_620,1989,1990,-2.64,43.08,620
i_-2.6417172_38.3605151_909,1990,2015,-2.6417172,38.3605151,909
i_-2.6734722_53.2437222_81,1990,2015,-2.6734722,53.2437222,81
i_-2.6734975_43.3515051_5,1990,2015,-2.6734975,43.3515051,5
i_-2.68_43.35_150,1989,1990,-2.68,43.35,150
i_-2.6907017_51.7100293_98,1990,2015,-2.6907017,51.7100293,98
i_-2.690833_42.269722_1351,1990,2015,-2.690833,42.269722,1351
i_-2.7403426_40.7830046_953,1990,2015,-2.7403426,40.7830046,953
i_-2.764375_40.9266667_1050,1990,2015,-2.764375,40.9266667,1050
i_-2.798889_38.104444_661,1990,2015,-2.798889,38.104444,661
i_-2.8130046_40.2013843_975,1990,2015,-2.8130046,40.2013843,975
i_-2.824108333_56.43955833_9,1990,2015,-2.824108333,56.43955833,9
i_-2.83_43.28_450,1989,1989,-2.83,43.28,450
i_-2.8425695_37.4683935_1032,2010,2011,-2.8425695,37.4683935,1032
i_-2.8434849_43.1980278_285,1990,2015,-2.8434849,43.1980278,285
i_-2.8484034_38.4790677_665,1990,2015,-2.8484034,38.4790677,665
i_-2.85_42.57_470,2006,2006,-2.85,42.57,470
i_-2.8657454_37.612912_707,1990,2015,-2.8657454,37.612912,707
i_-2.888611_37.911667_1550,1990,2015,-2.888611,37.911667,1550
i_-2.8953102_37.7508704_1007,1990,2015,-2.8953102,37.7508704,1007
i_-2.9245338_42.6168599_724,1990,2015,-2.9245338,42.6168599,724
i_-2.9405556_55.6106667_202,1990,2015,-2.9405556,55.6106667,202
i_-2.9485648_38.0331759_1123,1990,2015,-2.9485648,38.0331759,1123
i_-2.9619899_39.0364546_757,1990,2015,-2.9619899,39.0364546,757
i_-2.9648889_37.166338_1326,1990,2015,-2.9648889,37.166338,1326
i_-2.9735354_52.3102525_306,1990,2015,-2.9735354,52.3102525,306
i_-2.978889_43.153889_232,1990,2015,-2.978889,43.153889,232
i_-2.9901543_54.3437963_95,1990,2015,-2.9901543,54.3437963,95
i_-3.005_37.041389_1296,1990,2015,-3.005,37.041389,1296
i_-3.018056_54.325_106,1990,2015,-3.018056,54.325,106
i_-3.025556_41.625_981,1990,2015,-3.025556,41.625,981
i_-3.0288212_42.1800966_1626,1990,2015,-3.0288212,42.1800966,1626
i_-3.0568783_56.5267593_235,1990,2015,-3.0568783,56.5267593,235
i_-3.09_37.42_1032,2010,2011,-3.09,37.42,1032
i_-3.1459954_37.146588_1514,1990,2015,-3.1459954,37.146588,1514
i_-3.1473838_40.8813031_860,1990,2015,-3.1473838,40.8813031,860
i_-3.1569709_51.1267593_104,1990,2015,-3.1569709,51.1267593,104
i_-3.182341667_57.68455278_16,1990,2015,-3.182341667,57.68455278,16
i_-3.1946364_42.0172121_1123,1990,2015,-3.1946364,42.0172121,1123
i_-3.357399_53.2772223_175,1990,2015,-3.357399,53.2772223,175
i_-3.3900397_51.5267725_63,1990,2015,-3.3900397,51.5267725,63
i_-3.3906217_56.1438492_123,1990,2015,-3.3906217,56.1438492,123
i_-3.413889_55.476111_365,1990,2015,-3.413889,55.476111,365
i_-3.4296869_41.2794141_1520,1990,2015,-3.4296869,41.2794141,1520
i_-3.4417172_37.6850808_1155,1990,2015,-3.4417172,37.6850808,1155
i_-3.4487464_42.2776957_1069,1990,2015,-3.4487464,42.2776957,1069
i_-3.4747071_43.2682424_201,1990,2015,-3.4747071,43.2682424,201
i_-3.496_53.06416667_387,1990,2015,-3.496,53.06416667,387
i_-3.5073056_55.3777778_382,1990,2015,-3.5073056,55.3777778,382
i_-3.532778_47.847778_30,1990,2015,-3.532778,47.847778,30
i_-3.5573864_51.6100126_304,1990,2015,-3.5573864,51.6100126,304
i_-3.5578657_38.2491574_474,1990,2015,-3.5578657,38.2491574,474
i_-3.5624907_37.3824907_855,1990,2015,-3.5624907,37.3824907,855
i_-3.5771063_42.8314685_610,1990,2015,-3.5771063,42.8314685,610
i_-3.5822408_38.3933333_1070,1990,2015,-3.5822408,38.3933333,1070
i_-3.6094106_42.9682319_668,1990,2015,-3.6094106,42.9682319,668
i_-3.640303_52.8768561_180,1990,2015,-3.640303,52.8768561,180
i_-3.640745_55.0433838_32,1990,2015,-3.640745,55.0433838,32
i_-3.653889_50.643056_121,1990,2015,-3.653889,50.643056,121
i_-3.6583796_36.9354028_1013,1990,2015,-3.6583796,36.9354028,1013
i_-3.668889_57.661944_-2,1990,2015,-3.668889,57.661944,-2
i_-3.6739583_51.9273195_282,1990,2015,-3.6739583,51.9273195,282
i_-3.68_50.436944_16,1990,2015,-3.68,50.436944,16
i_-3.7073545_51.6768783_298,1990,2015,-3.7073545,51.6768783,298
i_-3.726944_52.131944_357,1990,2015,-3.726944,52.131944,357
i_-3.7439398_37.3622269_1100,1990,2015,-3.7439398,37.3622269,1100
i_-3.7747037_37.5001852_1320,1990,2015,-3.7747037,37.5001852,1320
i_-3.7755656_42.811202_773,1990,2015,-3.7755656,42.811202,773
i_-3.78_50.77_141,1990,2015,-3.78,50.77,141
i_-3.7913271_53.1103396_23,1990,2015,-3.7913271,53.1103396,23
i_-3.8301932_37.7823261_641,1990,2015,-3.8301932,37.7823261,641
i_-3.8325833_36.9149676_1023,1990,2015,-3.8325833,36.9149676,1023
i_-3.8402778_57.1437407_314,1990,2015,-3.8402778,57.1437407,314
i_-3.8405808_50.610303_461,1990,2015,-3.8405808,50.610303,461
i_-3.9104396_41.6500217_798,1990,2015,-3.9104396,41.6500217,798
i_-3.9236768_38.2020909_648,1990,2015,-3.9236768,38.2020909,648
i_-3.9252222_37.3352525_1126,1990,2015,-3.9252222,37.3352525,1126
i_-3.961389_40.883611_1762,1990,2015,-3.961389,40.883611,1762
i_-3.9736111_56.1607917_65,1990,2015,-3.9736111,56.1607917,65
i_-3.9800218_38.4836981_560,1990,2015,-3.9800218,38.4836981,560
i_-4.0070097_42.9275242_990,1990,2015,-4.0070097,42.9275242,990
i_-4.040754_57.8773016_12,1990,2015,-4.040754,57.8773016,12
i_-4.0441111_37.0323195_948,1990,2015,-4.0441111,37.0323195,948
i_-4.0999469_43.3440193_78,1990,2015,-4.0999469,43.3440193,78
i_-4.1001065_37.3144537_848,1990,2015,-4.1001065,37.3144537,848
i_-4.1001313_38.1813031_549,1990,2015,-4.1001313,38.1813031,549
i_-4.1075_39.4_765,1990,2015,-4.1075,39.4,765
i_-4.113889_56.74_439,1990,2015,-4.113889,56.74,439
i_-4.1317268_38.3189074_669,1990,2015,-4.1317268,38.3189074,669
i_-4.1638788_39.3280404_870,1990,2015,-4.1638788,39.3280404,870
i_-4.191111_51.94_284,1990,2015,-4.191111,51.94,284
i_-4.1992727_42.9005454_1027,1990,2015,-4.1992727,42.9005454,1027
i_-4.2240212_50.7938492_149,1990,2015,-4.2240212,50.7938492,149
i_-4.276111_56.661944_81,1984,1987,-4.276111,56.661944,81
i_-4.279167_41.363611_802,1990,2015,-4.279167,41.363611,802
i_-4.3147176_38.2979583_781,1990,2015,-4.3147176,38.2979583,781
i_-4.3834398_40.3017268_713,1990,2015,-4.3834398,40.3017268,713
i_-4.4133472_39.5816343_831,1990,2015,-4.4133472,39.5816343,831
i_-4.431404_43.0163536_1427,1990,2015,-4.431404,43.0163536,1427
i_-4.4489293_40.5823334_1213,1990,2015,-4.4489293,40.5823334,1213
i_-4.4654028_38.1328334_359,1990,2015,-4.4654028,38.1328334,359
i_-4.497537_38.2768379_759,1990,2015,-4.497537,38.2768379,759
i_-4.523373_54.9938095_86,1990,2015,-4.523373,54.9938095,86
i_-4.5288283_42.578899_969,1990,2015,-4.5288283,42.578899,969
i_-4.5296713_38.4144537_659,1990,2015,-4.5296713,38.4144537,659
i_-4.5437685_40.1433333_506,1990,2015,-4.5437685,40.1433333,506
i_-4.545833_41.352222_754,1990,2015,-4.545833,41.352222,754
i_-4.5475_42.876389_1087,1990,2015,-4.5475,42.876389,1087
i_-4.5477083_36.8182222_298,1990,2015,-4.5477083,36.8182222,298
i_-4.5624976_42.7156594_1082,1990,2015,-4.5624976,42.7156594,1082
i_-4.5942874_38.6959058_648,1990,2015,-4.5942874,38.6959058,648
i_-4.6073333_57.5767223_76,1990,2015,-4.6073333,57.5767223,76
i_-4.6157454_37.967537_167,1990,2015,-4.6157454,37.967537,167
i_-4.6236616_56.1601263_430,1990,2015,-4.6236616,56.1601263,430
i_-4.633611_43.116389_510,1990,2015,-4.633611,43.116389,510
i_-4.6409091_50.4781061_149,1990,2015,-4.6409091,50.4781061,149
i_-4.6480509_38.1115417_563,1990,2015,-4.6480509,38.1115417,563
i_-4.6642222_43.1318182_941,1990,2015,-4.6642222,43.1318182,941
i_-4.6803565_38.2491574_673,1990,2015,-4.6803565,38.2491574,673
i_-4.7920535_42.5934155_958,1990,2015,-4.7920535,42.5934155,958
i_-4.7946364_42.8309596_1626,1990,2015,-4.7946364,42.8309596,1626
